log,etiqueta_real,prediccion_ml,tipo_ataque_estimado,prediccion_ml_texto,etiqueta_real_texto,detectado_correctamente
Feb 17 17:21:18 ubuntu-victima sshd[3756]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 48138 ssh2 [preauth]  vboxuser ,1,1,ssh_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:19:15 +0000] ""GET /authentication HTTP/1.1"" 404 435 ""-"" ""gobuster/3.8"" /authentication   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:08:15 +0000] ""GET /jennifer HTTP/1.1"" 404 435 ""-"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)"" /jennifer   ",1,1,web_attack,ataque,ataque,True
Feb 17 16:56:48 ubuntu-victima sshd[3049]: Failed password for vboxuser from 192.168.1.50 port 43354 ssh2  vboxuser ,0,0,ssh_attack,normal,normal,True
Feb 17 12:37:05 ubuntu-victima sshd[4194]: PAM service(sshd) ignoring max retries; 6 > 3    ,0,0,ssh_attack,normal,normal,True
Feb 17 17:14:52 ubuntu-victima sshd[3563]: PAM 5 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.1.50  user=vboxuser  vboxuser ,0,0,ssh_attack,normal,normal,True
Feb 17 16:18:31 ubuntu-victima sshd[2362]: Failed password for vboxuser from 192.168.1.50 port 54902 ssh2  vboxuser ,0,0,ssh_attack,normal,normal,True
"192.168.1.50 - - [26/Feb/2026:11:19:16 +0000] ""GET /maintenance HTTP/1.1"" 404 435 ""-"" ""gobuster/3.8"" /maintenance   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:19:16 +0000] ""GET /unregister HTTP/1.1"" 404 435 ""-"" ""gobuster/3.8"" /unregister   ",1,1,web_attack,ataque,ataque,True
"192.168.1.50 - - [26/Feb/2026:11:19:16 +0000] ""GET /gen HTTP/1.1"" 404 435 ""-"" ""gobuster/3.8"" /gen   ",1,1,web_attack,ataque,ataque,True
Feb 17 13:32:13 ubuntu-victima sshd[4717]: Failed password for root from 192.168.1.50 port 48804 ssh2  root ,0,0,ssh_attack,normal,normal,True
Feb 17 17:22:04 ubuntu-victima sshd[3774]: PAM 5 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.1.50  user=vboxuser  vboxuser ,1,0,ssh_attack,normal,ataque,False
"192.168.1.50 - - [26/Feb/2026:11:19:16 +0000] ""GET /java HTTP/1.1"" 404 435 ""-"" ""gobuster/3.8"" /java   ",1,1,web_attack,ataque,ataque,True
Feb 16 18:28:39 ubuntu-victima sshd[3040]: Failed password for root from 192.168.1.50 port 44808 ssh2  root ,0,0,ssh_attack,normal,normal,True
Feb 17 17:04:58 ubuntu-victima sshd[3277]: PAM 5 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.1.50  user=vboxuser  vboxuser ,0,0,ssh_attack,normal,normal,True
"192.168.1.50 - - [26/Feb/2026:11:19:16 +0000] ""GET /toplists HTTP/1.1"" 404 435 ""-"" ""gobuster/3.8"" /toplists   ",1,1,web_attack,ataque,ataque,True
Feb 17 16:47:35 ubuntu-victima sshd[2739]: Disconnecting authenticating user vboxuser 192.168.1.50 port 35648: Too many authentication failures [preauth]    ,0,0,ssh_attack,normal,normal,True
