text,real,ml_pred,wazuh_pred
Feb 17 17:01:09 ubuntu-victima sshd[3174]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 52282 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 16:03:16 ubuntu-victima sshd[2150]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 33622 ssh2 [preauth]  root ,1,1,0
Feb 16 18:26:56 ubuntu-victima sshd[2985]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 37676 ssh2 [preauth]  root ,1,1,0
Feb 16 18:32:20 ubuntu-victima sshd[3135]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 57880 ssh2 [preauth]  root ,1,1,0
Feb 17 16:07:49 ubuntu-victima sshd[2295]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 34158 ssh2 [preauth]  root ,1,1,0
Feb 16 18:50:47 ubuntu-victima sshd[3650]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 58832 ssh2 [preauth]  root ,1,1,0
Feb 17 16:20:43 ubuntu-victima sshd[2429]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 60942 ssh2 [preauth]  vboxuser ,1,1,0
Feb 16 18:09:54 ubuntu-victima sshd[2502]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 35414 ssh2 [preauth]  root ,1,1,0
Feb 17 17:11:53 ubuntu-victima sshd[3476]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 47530 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 16:20:28 ubuntu-victima sshd[2422]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 45630 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 16:45:33 ubuntu-victima sshd[2679]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 37154 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 13:37:12 ubuntu-victima sshd[5370]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 54590 ssh2 [preauth]  root ,1,1,0
Feb 17 16:45:31 ubuntu-victima sshd[2683]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 37176 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 16:47:59 ubuntu-victima sshd[2749]: PAM 5 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.1.50  user=vboxuser  vboxuser ,1,1,0
Feb 17 16:47:35 ubuntu-victima sshd[2739]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 35648 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 17:06:20 ubuntu-victima sshd[3330]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 32864 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 16:23:33 ubuntu-victima sshd[2490]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 35718 ssh2 [preauth]  vboxuser ,1,1,0
Feb 17 17:27:59 ubuntu-victima sshd[3956]: error: maximum authentication attempts exceeded for vboxuser from 192.168.1.50 port 41942 ssh2 [preauth]  vboxuser ,1,1,0
Feb 16 18:24:14 ubuntu-victima sshd[2918]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 38386 ssh2 [preauth]  root ,1,1,0
Feb 17 12:28:08 ubuntu-victima sshd[3920]: PAM 5 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.168.1.50  user=root  root ,1,1,0
Feb 16 18:34:17 ubuntu-victima sshd[3195]: error: maximum authentication attempts exceeded for root from 192.168.1.50 port 43920 ssh2 [preauth]  root ,1,1,0
